Chỉ tiêu,Đơn vị tính,Tháng 1/2013,Tháng 2/2013,Tháng 3/2013,Tháng 4/2013,Tháng 5/2013,Tháng 6/2013,Tháng 7/2013,Tháng 8/2013,Tháng 9/2013,Tháng 10/2013,Tháng 11/2013,Tháng 12/2013,Tháng 1/2014,Tháng 2/2014,Tháng 3/2014,Tháng 4/2014,Tháng 5/2014,Tháng 6/2014,Tháng 7/2014,Tháng 8/2014,Tháng 9/2014,Tháng 10/2014,Tháng 11/2014,Tháng 12/2014,Tháng 1/2015,Tháng 2/2015,Tháng 3/2015,Tháng 4/2015,Tháng 5/2015,Tháng 6/2015,Tháng 7/2015,Tháng 8/2015,Tháng 9/2015,Tháng 10/2015,Tháng 11/2015,Tháng 12/2015,Tháng 1/2016,Tháng 2/2016,Tháng 3/2016,Tháng 4/2016,Tháng 5/2016,Tháng 6/2016,Tháng 7/2016,Tháng 8/2016,Tháng 9/2016,Tháng 10/2016,Tháng 11/2016,Tháng 12/2016,Tháng 1/2017,Tháng 2/2017,Tháng 3/2017,Tháng 4/2017,Tháng 5/2017,Tháng 6/2017,Tháng 7/2017,Tháng 8/2017,Tháng 9/2017,Tháng 10/2017,Tháng 11/2017,Tháng 12/2017,Tháng 1/2018,Tháng 2/2018,Tháng 3/2018,Tháng 4/2018,Tháng 5/2018,Tháng 6/2018,Tháng 7/2018,Tháng 8/2018,Tháng 9/2018,Tháng 10/2018,Tháng 11/2018,Tháng 12/2018,Tháng 1/2019,Tháng 2/2019,Tháng 3/2019,Tháng 4/2019,Tháng 5/2019,Tháng 6/2019,Tháng 7/2019,Tháng 8/2019,Tháng 9/2019,Tháng 10/2019,Tháng 11/2019,Tháng 12/2019,Tháng 1/2020,Tháng 2/2020,Tháng 3/2020,Tháng 4/2020,Tháng 5/2020,Tháng 6/2020,Tháng 7/2020,Tháng 8/2020,Tháng 9/2020,Tháng 10/2020,Tháng 11/2020,Tháng 12/2020,Tháng 1/2021,Tháng 2/2021,Tháng 3/2021,Tháng 4/2021,Tháng 5/2021,Tháng 6/2021,Tháng 7/2021,Tháng 8/2021,Tháng 9/2021,Tháng 10/2021,Tháng 11/2021,Tháng 12/2021,Tháng 1/2022,Tháng 2/2022,Tháng 3/2022,Tháng 4/2022,Tháng 5/2022,Tháng 6/2022,Tháng 7/2022,Tháng 8/2022,Tháng 9/2022,Tháng 10/2022,Tháng 11/2022,Tháng 12/2022,Tháng 1/2023,Tháng 2/2023,Tháng 3/2023,Tháng 4/2023,Tháng 5/2023,Tháng 6/2023,Tháng 7/2023,Tháng 8/2023,Tháng 9/2023,Tháng 10/2023,Tháng 11/2023,Tháng 12/2023,Tháng 1/2024,Tháng 2/2024,Tháng 3/2024,Tháng 4/2024,Tháng 5/2024,Tháng 6/2024,Tháng 7/2024,Tháng 8/2024
Xuất khẩu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng trị giá Xuất khẩu,Triệu USD,11472.0,7146.0,11029.0,10033.0,11675.0,11009.0,11599.0,11923.0,11184.0,12613.0,11992.0,11637.0,11460.0,9540.0,12000.0,13071.0,12000.0,12378.0,12916.0,13272.0,12400.0,14068.0,13200.0,12876.0,13405.0,9600.0,13345.0,13348.0,13500.0,14300.0,14500.0,14500.0,14200.0,14314.0,14300.0,14200.0,13800.0,10300.0,14200.0,14100.0,14600.0,14800.0,14700.0,15200.0,15000.0,15500.0,15600.0,16000.0,14600.0,13000.0,16300.0,16700.0,17200.0,17800.0,17500.0,18200.0,19000.0,19400.0,19200.0,19300.0,19000.0,13400.0,19800.0,18200.0,19200.0,19600.0,19500.0,20900.0,20500.0,20800.0,21600.0,21000.0,20000.0,14600.0,22400.0,19900.0,21500.0,21600.0,22600.0,24500.0,23000.0,22400.0,22600.0,21800.0,19000.0,18600.0,20000.0,19700.0,18500.0,21000.0,23000.0,26500.0,27500.0,26700.0,24800.0,26500.0,27700.0,20000.0,28600.0,25500.0,26000.0,26500.0,27000.0,26200.0,27000.0,27300.0,29900.0,34517.0,29000.0,22947.0,34061.0,33258.0,30480.0,32646.0,30323.0,33380.0,29940.0,30270.0,29500.0,29660.0,25080.0,25880.0,29570.0,27540.0,29050.0,29300.0,29680.0,32370.0,31410.0,32310.0,31080.0,32910.0,33570.0,24820.0,34010.0,30940.0,32810.0,33090.0,35920.0,37590.0
Giày da,Triệu USD,823.0,378.0,537.0,639.0,861.0,789.0,765.0,734.0,549.0,717.0,808.0,926.0,860.0,598.0,700.0,856.0,800.0,965.0,945.0,914.0,800.0,863.0,955.0,1087.0,1076.0,798.0,800.0,984.0,1100.0,1200.0,1200.0,1100.0,850.0,959.0,1050.0,1200.0,1150.0,700.0,900.0,900.0,1150.0,1300.0,1250.0,1150.0,900.0,950.0,1150.0,1250.0,1200.0,900.0,1050.0,1050.0,1300.0,1350.0,1350.0,1300.0,1000.0,1050.0,1200.0,1450.0,1300.0,850.0,1200.0,1100.0,1400.0,1550.0,1400.0,1400.0,1200.0,1250.0,1400.0,1650.0,1600.0,900.0,1350.0,1400.0,1750.0,1700.0,1700.0,1600.0,1400.0,1350.0,1650.0,1750.0,1600.0,1300.0,1100.0,1300.0,1400.0,1450.0,1400.0,1400.0,1200.0,1250.0,1400.0,1500.0,1800.0,1350.0,1660.0,1600.0,1950.0,2000.0,1750.0,850.0,700.0,750.0,1300.0,1800.0,2000.0,1300.0,2000.0,2050.0,2050.0,2500.0,2300.0,2400.0,1800.0,1900.0,2050.0,1900.0,1600.0,1400.0,1550.0,1800.0,2000.0,1950.0,1850.0,1850.0,1500.0,1350.0,1800.0,2000.0,1850.0,1300.0,1700.0,1750.0,2000.0,2200.0,2100.0,2077.0
Dệt may,Triệu USD,1590.0,909.0,1304.0,1244.0,1449.0,1490.0,1816.0,1798.0,1658.0,1749.0,1471.0,1723.0,1905.0,1045.0,1600.0,1576.0,1450.0,1891.0,2146.0,2144.0,1900.0,1956.0,1565.0,1990.0,1918.0,1500.0,1628.0,1636.0,1650.0,2000.0,2300.0,2400.0,2200.0,1980.0,1700.0,2000.0,2000.0,1600.0,1900.0,1700.0,1750.0,2100.0,2400.0,2300.0,2300.0,2100.0,1850.0,2000.0,2050.0,1500.0,2100.0,1850.0,1900.0,2200.0,2450.0,2500.0,2400.0,2300.0,2150.0,2350.0,2300.0,1800.0,2200.0,2200.0,2150.0,2500.0,2900.0,2900.0,2800.0,2700.0,2600.0,2750.0,2650.0,1600.0,2700.0,2300.0,2600.0,2850.0,3250.0,3300.0,3000.0,2750.0,2600.0,2700.0,2600.0,2050.0,1800.0,1900.0,1800.0,2200.0,3000.0,3000.0,2800.0,2600.0,2000.0,2500.0,2600.0,2100.0,2700.0,2300.0,2550.0,3000.0,3300.0,2700.0,2350.0,2450.0,2800.0,3600.0,3300.0,2300.0,3200.0,3100.0,3100.0,3650.0,3600.0,3800.0,2850.0,2800.0,2850.0,2850.0,2500.0,2300.0,2650.0,2400.0,2600.0,3100.0,3200.0,3300.0,3000.0,2700.0,2600.0,2800.0,2900.0,2100.0,2600.0,2550.0,2700.0,3100.0,3350.0,4045.0
Gỗ và sản phẩm gỗ,Triệu USD,489.0,249.0,432.0,414.0,450.0,431.0,454.0,475.0,451.0,521.0,520.0,638.0,534.0,380.0,520.0,521.0,450.0,503.0,494.0,554.0,500.0,577.0,538.0,610.0,589.0,460.0,544.0,557.0,500.0,550.0,600.0,600.0,550.0,635.0,620.0,660.0,600.0,400.0,580.0,580.0,580.0,560.0,570.0,580.0,600.0,600.0,620.0,700.0,620.0,400.0,670.0,630.0,600.0,620.0,600.0,620.0,620.0,650.0,660.0,700.0,730.0,500.0,700.0,680.0,700.0,750.0,720.0,730.0,680.0,800.0,850.0,800.0,900.0,400.0,900.0,850.0,880.0,850.0,850.0,850.0,850.0,900.0,900.0,1000.0,1000.0,650.0,900.0,850.0,750.0,900.0,1050.0,1150.0,1150.0,1150.0,1100.0,1300.0,1250.0,1100.0,1430.0,1200.0,1400.0,1500.0,1300.0,850.0,750.0,780.0,1150.0,1450.0,1500.0,1100.0,1600.0,1500.0,1400.0,1550.0,1300.0,1350.0,1100.0,1200.0,1100.0,1170.0,1100.0,800.0,1200.0,1050.0,1100.0,1050.0,1150.0,1150.0,1200.0,1200.0,1200.0,1300.0,1400.0,950.0,1120.0,1300.0,1250.0,1250.0,1400.0,1496.0
Thủy sản,Triệu USD,484.0,279.0,482.0,514.0,593.0,534.0,599.0,600.0,641.0,771.0,661.0,662.0,584.0,460.0,600.0,672.0,620.0,640.0,722.0,763.0,680.0,829.0,676.0,650139.0,507.0,368.0,513.0,535.0,550.0,580.0,620.0,600.0,580.0,676.0,676.0,600.0,550.0,350.0,520.0,520.0,580.0,570.0,570.0,620.0,630.0,720.0,700.0,620.0,550.0,400.0,570.0,620.0,650.0,700.0,750.0,800.0,750.0,800.0,750.0,750.0,600.0,420.0,600.0,650.0,700.0,750.0,740.0,800.0,780.0,850.0,800.0,800.0,700.0,350.0,630.0,620.0,750.0,750.0,740.0,750.0,750.0,760.0,780.0,750.0,550.0,420.0,600.0,600.0,620.0,680.0,780.0,800.0,820.0,840.0,800.0,700.0,600.0,400.0,685.0,650.0,750.0,780.0,800.0,600.0,600.0,700.0,880.0,900.0,870.0,600.0,900.0,1050.0,1100.0,1050.0,900.0,894.0,900.0,900.0,750.0,760.0,600.0,550.0,720.0,750.0,800.0,750.0,800.0,780.0,850.0,850.0,800.0,780.0,730.0,550.0,653.0,730.0,780.0,810.0,880.0,983.0
Dầu thô,Triệu USD,662.0,487.0,634.0,533.0,642.0,677.0,599.0,643.0,463.0,661.0,728.0,611.0,505.0,600.0,630.0,742.0,770.0,718.0,731.0,698.0,450.0,519.0,435.0,414.0,304.0,300.0,265.0,536.0,246.0,376.0,310.0,280.0,310.0,276.0,270.0,324.0,145.0,128.0,154.0,180.0,200.0,213.0,233.0,164.0,185.0,265.0,180.0,218.0,191.0,225.0,210.0,296.0,215.0,400.0,260.0,170.0,290.0,190.0,196.0,300.0,191.0,190.0,143.0,147.0,270.0,165.0,252.0,250.0,210.0,173.0,210.0,230.0,180.0,420.0,170.0,180.0,190.0,143.0,206.0,163.0,120.0,220.0,154.0,180.0,187.0,213.0,141.0,154.0,110.0,117.0,109.0,200.0,210.0,135.0,95.0,106.0,135.0,53.0,159.0,102.0,144.0,117.0,60.0,63.0,132.0,213.0,240.0,101.0,113.0,198.0,285.0,315.0,266.0,299.0,388.0,344.0,170.0,116.0,247.0,234.0,139.0,203.0,245.0,123.0,215.0,98.0,224.0,239.0,115.0,69.0,194.0,122.0,143.0,104.0,270.0,313.0,238.0,35.0,51.0,48.0
Gạo,Triệu USD,203.0,160.0,335.0,291.0,313.0,277.0,275.0,288.0,206.0,243.0,174.0,187.0,176.0,197.0,255.0,292.0,285.0,245.0,271.0,302.0,285.0,291.0,235.0,150.0,153.0,84.0,275.0,321.0,282.0,292.0,293.0,271.0,207.0,353.0,380.0,318.0,242.0,210.0,218.0,208.0,240.0,204.0,154.0,177.0,177.0,180.0,177.0,182.0,125.0,184.0,210.0,258.0,250.0,264.0,237.0,262.0,225.0,190.0,208.0,187.0,214.0,174.0,260.0,347.0,460.0,340.0,230.0,236.0,190.0,180.0,218.0,220.0,180.0,140.0,256.0,256.0,297.0,272.0,263.0,252.0,222.0,230.0,186.0,180.0,170.0,176.0,222.0,191.0,395.0,228.0,194.0,251.0,215.0,161.0,207.0,240.0,154.0,160.0,246.0,362.0,406.0,226.0,289.0,211.0,261.0,278.0,297.0,242.0,182.0,191.0,246.0,273.0,386.0,370.0,331.0,309.0,308.0,334.0,296.0,283.0,203.0,231.0,480.0,574.0,530.0,383.0,326.0,582.0,495.0,433.0,462.0,479.0,347.0,276.0,637.0,654.0,611.0,416.0,386.0,510.0
Café,Triệu USD,455.0,219.0,354.0,243.0,253.0,186.0,194.0,179.0,136.0,123.0,143.0,255.0,265.0,350.0,448.0,446.0,370.0,238.0,196.0,217.0,226.0,212.0,192.0,255.0,281.0,230.0,266.0,215.0,208.0,225.0,236.0,181.0,175.0,171.0,192.0,244.0,276.0,200.0,264.0,271.0,296.0,293.0,246.0,260.0,236.0,264.0,258.0,352.0,316.0,293.0,406.0,340.0,267.0,266.0,250.0,227.0,210.0,185.0,190.0,287.0,340.0,260.0,347.0,304.0,276.0,287.0,244.0,246.0,225.0,230.0,264.0,287.0,305.0,175.0,278.0,235.0,220.0,250.0,265.0,220.0,175.0,181.0,207.0,258.0,245.0,250.0,254.0,280.0,218.0,237.0,213.0,197.0,188.0,167.0,137.0,170.0,217.0,193.0,275.0,209.0,248.0,219.0,207.0,207.0,245.0,193.0,181.0,305.0,395.0,304.0,394.0,386.0,343.0,335.0,284.0,257.0,240.0,208.0,267.0,314.0,352.0,393.0,522.0,474.0,418.0,392.0,371.0,267.0,205.0,189.0,252.0,538.0,621.0,524.0,641.0,644.0,400.0,382.0,346.0,384.0
Điện tử máy tính,Triệu USD,887.0,593.0,883.0,776.0,791.0,863.0,1008.0,998.0,930.0,1044.0,1080.0,836.0,749.0,619.0,850.0,798.0,720.0,837.0,924.0,989.0,930.0,1371.0,1510.0,1082.0,1274.0,850.0,1350.0,1156.0,1300.0,1350.0,1350.0,1300.0,1450.0,1468.0,1500.0,1500.0,1400.0,1100.0,1450.0,1300.0,1300.0,1500.0,1500.0,1700.0,1750.0,1900.0,1950.0,1800.0,1600.0,1600.0,2000.0,1750.0,2000.0,1900.0,2050.0,2100.0,2400.0,2430.0,2550.0,2200.0,2200.0,1600.0,2200.0,2000.0,2400.0,2500.0,2300.0,2500.0,2700.0,2700.0,2600.0,2500.0,2250.0,1800.0,2700.0,2500.0,2700.0,3000.0,3100.0,3300.0,3300.0,3200.0,3300.0,3200.0,2600.0,2700.0,2800.0,3300.0,3200.0,3750.0,3600.0,4100.0,4500.0,4000.0,3800.0,4400.0,4000.0,3000.0,4700.0,3900.0,3700.0,4000.0,3500.0,3700.0,4600.0,4600.0,4200.0,5500.0,3500.0,3700.0,5100.0,4800.0,4200.0,4550.0,4000.0,4400.0,4800.0,4750.0,4000.0,4500.0,3700.0,3700.0,4700.0,4100.0,4300.0,4700.0,5200.0,5500.0,5250.0,5600.0,4900.0,5700.0,5000.0,4200.0,5700.0,5300.0,5900.0,5900.0,6200.0,6733.0
Máy móc thiết bị,Triệu USD,458.0,321.0,463.0,452.0,497.0,472.0,509.0,538.0,505.0,576.0,548.0,539.0,529.0,459.0,550.0,633.0,500.0,707.0,635.0,649.0,600.0,754.0,589.0,645.0,664.0,450.0,707.0,654.0,660.0,650.0,680.0,700.0,680.0,774.0,760.0,75.0,700.0,550.0,750.0,750.0,750.0,760.0,850.0,880.0,920.0,970.0,1000.0,1050.0,900.0,950.0,1050.0,1100.0,1100.0,1100.0,1000.0,1150.0,1100.0,1050.0,1100.0,1150.0,1050.0,900.0,1300.0,1300.0,1400.0,1300.0,1100.0,1350.0,1300.0,1400.0,1450.0,1400.0,1400.0,1000.0,1400.0,1300.0,1400.0,1400.0,1500.0,1500.0,1500.0,1550.0,1700.0,1750.0,1450.0,1500.0,1550.0,1800.0,1750.0,1800.0,2000.0,2350.0,2800.0,2800.0,2750.0,3000.0,3200.0,2200.0,3500.0,2900.0,2700.0,2300.0,2650.0,3000.0,3100.0,3400.0,3700.0,4300.0,3000.0,2500.0,3600.0,3500.0,3500.0,4000.0,3700.0,4300.0,4000.0,4100.0,3800.0,3700.0,2800.0,3500.0,3499.0,3200.0,3350.0,3250.0,3200.0,3700.0,3800.0,4600.0,4000.0,3900.0,3800.0,2800.0,3900.0,3600.0,3800.0,4150.0,4500.0,4737.0
Nhập khẩu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng trị giá Nhập khẩu,Triệu USD,10696.0,7240.0,11575.0,10969.0,12228.0,10723.0,11220.0,11319.0,11272.0,12512.0,10988.0,12185.0,13600.0,10090.0,12300.0,12260.0,12400.0,12430.0,12965.0,12198.0,13000.0,14072.0,12792.0,14038.0,13400.0,10480.0,14736.0,13200.0,14938.0,14465.0,14800.0,14600.0,14300.0,13814.0,14500.0,14800.0,14000.0,10200.0,14100.0,14000.0,15000.0,14900.0,14600.0,15000.0,15100.0,15700.0,16000.0,16300.0,14700.0,14200.0,17400.0,17500.0,18000.0,18000.0,17800.0,17800.0,18600.0,18500.0,19000.0,19800.0,19300.0,12500.0,19000.0,17500.0,19700.0,19700.0,19800.0,21000.0,19800.0,20700.0,22000.0,21200.0,20800.0,15500.0,21800.0,20600.0,22800.0,21200.0,22400.0,22800.0,22500.0,22500.0,22500.0,22800.0,22302.0,18500.0,19000.0,20400.0,19400.0,20500.0,22000.0,23000.0,24000.0,24500.0,24200.0,27500.0,26400.0,20800.0,28200.0,27000.0,28000.0,27500.0,28700.0,27500.0,26500.0,26200.0,29800.0,31975.0,29500.0,25279.0,32672.0,32189.0,32210.0,32370.0,30302.0,30960.0,28800.0,28000.0,30000.0,29160.0,21480.0,23580.0,28920.0,26030.0,26810.0,26710.0,27530.0,28550.0,29120.0,29310.0,29800.0,30630.0,30650.0,23720.0,31080.0,30260.0,33810.0,30150.0,33800.0,33059.0
"Điện tử, máy tính và linh kiện",Triệu USD,1474.0,1096.0,1585.0,1417.0,1572.0,1357.0,697.0,1546.0,1587.0,1706.0,1356.0,555.0,1800.0,1258.0,1800.0,1364.0,1350.0,1447.0,1435.0,1465.0,780.0,1867.0,1855.0,1829.0,1850.0,1628.0,2019.0,1777.0,2038.0,1798.0,1900.0,2000.0,2100.0,2016.0,2250.0,1900.0,2100.0,1800.0,2400.0,2200.0,2200.0,2100.0,2350.0,2500.0,2600.0,2600.0,2600.0,2450.0,2250.0,2200.0,2700.0,2850.0,2900.0,2800.0,2900.0,2900.0,3600.0,3600.0,3500.0,3500.0,3750.0,2600.0,3600.0,3000.0,3000.0,3100.0,3300.0,3700.0,3800.0,3800.0,4000.0,3900.0,3700.0,3550.0,4400.0,4000.0,4000.0,4200.0,4300.0,5000.0,5100.0,4700.0,4600.0,4500.0,4307.0,4400.0,4500.0,4000.0,4200.0,5000.0,5400.0,5900.0,6300.0,6200.0,6100.0,6400.0,2600.0,5200.0,6200.0,5500.0,5200.0,5500.0,5800.0,6300.0,6850.0,6200.0,7500.0,7800.0,6800.0,6300.0,8000.0,7200.0,6800.0,6500.0,6900.0,6800.0,6700.0,6500.0,5800.0,6000.0,4800.0,6200.0,6700.0,6100.0,6300.0,6700.0,7000.0,8000.0,8800.0,8200.0,7900.0,8400.0,8250.0,7000.0,8300.0,7300.0,8600.0,8550.0,9500.0,9466.0
"Máy móc thiết bị, phụ tùng",Triệu USD,1461.0,984.0,1474.0,1565.0,1661.0,1513.0,1602.0,1546.0,1587.0,1788.0,1737.0,1768.0,2100.0,1514.0,1750.0,1973.0,1850.0,1951.0,2140.0,1967.0,2000.0,52.0,2007.0,2408.0,2400.0,2089.0,2589.0,2148.0,2480.0,2551.0,2600.0,2500.0,2400.0,2161.0,2400.0,2500.0,2400.0,20.0,2250.0,2200.0,2300.0,2500.0,2350.0,2400.0,2300.0,2400.0,2500.0,2850.0,2600.0,2400.0,2800.0,3250.0,3400.0,3400.0,3100.0,2850.0,2900.0,2600.0,2850.0,2900.0,2800.0,2000.0,2500.0,2600.0,3000.0,3000.0,3000.0,2950.0,2800.0,2900.0,3100.0,3050.0,3000.0,2150.0,3200.0,3000.0,3200.0,3050.0,3200.0,3200.0,3100.0,3100.0,3200.0,3500.0,3617.0,2500.0,2600.0,3300.0,3100.0,3000.0,3100.0,3000.0,3300.0,3300.0,3350.0,4200.0,4100.0,2900.0,4000.0,4000.0,3900.0,4000.0,4200.0,4000.0,3900.0,3500.0,3700.0,3900.0,3800.0,2850.0,3600.0,3400.0,3800.0,4000.0,3800.0,3900.0,3700.0,3700.0,3700.0,3750.0,2200.0,2800.0,3400.0,3250.0,3300.0,3650.0,3200.0,3650.0,3800.0,3500.0,3600.0,3800.0,4000.0,3000.0,3750.0,3700.0,4400.0,3850.0,4000.0,4483.0
Xăng dầu,Triệu USD,480.0,478.0,704.0,691.0,626.0,543.0,485.0,665.0,475.0,656.0,520.0,669.0,606.0,562.0,738.0,734.0,690.0,896.0,847.0,526.0,456.0,525.0,353.0,467.0,377.0,427.0,589.0,612.0,468.0,459.0,492.0,361.0,269.0,483.0,360.0,420.0,293.0,278.0,330.0,394.0,485.0,452.0,407.0,274.0,340.0,388.0,416.0,425.0,510.0,433.0,520.0,467.0,480.0,656.0,536.0,552.0,596.0,608.0,633.0,696.0,552.0,624.0,800.0,630.0,802.0,900.0,690.0,548.0,503.0,510.0,546.0,371.0,260.0,262.0,513.0,518.0,430.0,407.0,440.0,500.0,435.0,430.0,605.0,526.0,562.0,345.0,234.0,145.0,152.0,264.0,420.0,299.0,170.0,170.0,215.0,329.0,363.0,363.0,345.0,340.0,450.0,286.0,373.0,191.0,174.0,247.0,410.0,487.0,469.0,626.0,1285.0,1087.0,907.0,601.0,848.0,522.0,558.0,536.0,757.0,1106.0,879.0,786.0,659.0,509.0,623.0,664.0,790.0,1052.0,102.0,815.0,595.0,492.0,530.0,737.0,977.0,841.0,863.0,675.0,693.0,515.0
Hóa chất,Triệu USD,244.0,157.0,250.0,237.0,297.0,216.0,243.0,278.0,214.0,267.0,263.0,303.0,330.0,248.0,250.0,270.0,260.0,299.0,315.0,289.0,300.0,316.0,271.0,294.0,240.0,163.0,283.0,295.0,302.0,284.0,300.0,290.0,270.0,238.0,260.0,270.0,260.0,160.0,240.0,250.0,300.0,270.0,300.0,290.0,300.0,270.0,280.0,300.0,260.0,270.0,350.0,350.0,350.0,340.0,340.0,320.0,330.0,360.0,360.0,410.0,400.0,250.0,450.0,420.0,450.0,460.0,450.0,420.0,400.0,420.0,500.0,430.0,450.0,320.0,460.0,420.0,510.0,420.0,440.0,430.0,410.0,420.0,430.0,420.0,451.0,380.0,450.0,450.0,350.0,350.0,360.0,400.0,420.0,430.0,460.0,500.0,550.0,450.0,660.0,640.0,780.0,680.0,650.0,580.0,560.0,600.0,640.0,850.0,800.0,680.0,830.0,800.0,850.0,900.0,850.0,800.0,620.0,600.0,620.0,600.0,550.0,550.0,800.0,620.0,650.0,650.0,620.0,590.0,650.0,650.0,700.0,800.0,720.0,500.0,750.0,750.0,900.0,700.0,750.0,731.0
Sản phẩm hóa chất,Triệu USD,216.0,141.0,236.0,218.0,260.0,221.0,250.0,234.0,232.0,263.0,252.0,265.0,300.0,218.0,260.0,259.0,300.0,289.0,304.0,280.0,290.0,294.0,273.0,287.0,270.0,191.0,296.0,260.0,306.0,304.0,300.0,300.0,300.0,297.0,300.0,310.0,270.0,180.0,300.0,300.0,330.0,330.0,320.0,360.0,320.0,320.0,350.0,360.0,300.0,280.0,400.0,370.0,380.0,380.0,380.0,400.0,400.0,400.0,430.0,440.0,410.0,240.0,450.0,400.0,450.0,230.0,420.0,440.0,400.0,450.0,460.0,460.0,450.0,300.0,440.0,400.0,520.0,430.0,500.0,460.0,450.0,480.0,500.0,500.0,513.0,400.0,500.0,550.0,450.0,420.0,480.0,460.0,500.0,500.0,495.0,600.0,600.0,450.0,680.0,570.0,660.0,600.0,600.0,750.0,740.0,700.0,650.0,700.0,750.0,640.0,950.0,700.0,700.0,760.0,750.0,800.0,700.0,700.0,700.0,700.0,550.0,600.0,670.0,620.0,630.0,650.0,650.0,600.0,650.0,600.0,750.0,750.0,700.0,400.0,650.0,670.0,800.0,600.0,750.0,651.0
Sắt thép,Triệu USD,546.0,400.0,602.0,701.0,685.0,573.0,466.0,513.0,529.0,623.0,507.0,513.0,790.0,524.0,565.0,586.0,622.0,364.0,717.0,687.0,664.0,833.0,660.0,863.0,672.0,448.0,636.0,599.0,672.0,854.0,839.0,760.0,680.0,577.0,560.0,520.0,536.0,438.0,1800.0,612.0,715.0,795.0,728.0,767.0,693.0,754.0,770.0,770.0,710.0,754.0,930.0,945.0,830.0,735.0,622.0,723.0,782.0,802.0,840.0,836.0,825.0,558.0,787.0,810.0,1000.0,956.0,940.0,872.0,832.0,817.0,820.0,812.0,788.0,630.0,920.0,886.0,950.0,864.0,848.0,777.0,794.0,855.0,820.0,700.0,724.0,540.0,713.0,922.0,724.0,670.0,818.0,828.0,660.0,647.0,660.0,716.0,806.0,700.0,1003.0,1086.0,913.0,1019.0,972.0,991.0,1027.0,993.0,881.0,989.0,937.0,1030.0,1207.0,906.0,1263.0,1470.0,915.0,918.0,711.0,717.0,1036.0,957.0,655.0,583.0,1117.0,839.0,1008.0,788.0,790.0,849.0,986.0,989.0,600.0,992.0,850.0,892.0,1107.0,1019.0,1159.0,885.0,947.0,1020.0
Vải,Triệu USD,622.0,392.0,626.0,751.0,883.0,693.0,767.0,670.0,662.0,811.0,772.0,763.0,860.0,567.0,700.0,881.0,900.0,847.0,835.0,718.0,800.0,916.0,825.0,825.0,800.0,565.0,748.0,881.0,1109.0,918.0,950.0,900.0,800.0,908.0,920.0,920.0,850.0,600.0,750.0,900.0,1100.0,1000.0,940.0,850.0,850.0,900.0,950.0,950.0,800.0,750.0,900.0,1000.0,1100.0,1100.0,1020.0,950.0,900.0,980.0,1050.0,1100.0,1000.0,700.0,750.0,1000.0,1300.0,1300.0,1150.0,1150.0,980.0,1050.0,1200.0,1200.0,1100.0,900.0,1050.0,1200.0,1350.0,1300.0,1200.0,1100.0,1000.0,1200.0,1250.0,1200.0,1149.0,750.0,800.0,1000.0,1100.0,1050.0,1050.0,1050.0,980.0,1100.0,1100.0,1150.0,1150.0,750.0,1000.0,1250.0,1600.0,1400.0,1400.0,1000.0,1000.0,1050.0,1300.0,1400.0,1200.0,1000.0,1200.0,1250.0,1500.0,1400.0,1200.0,1150.0,1150.0,1100.0,1200.0,1100.0,700.0,700.0,1350.0,1200.0,1000.0,1100.0,1000.0,1000.0,1100.0,1150.0,1050.0,1200.0,1200.0,800.0,1100.0,1200.0,1550.0,1200.0,1250.0,1234.0
