,Thoi gian,Chi so do la My,Chi so gia tieu dung,Chi so gia vang,Chi so dau
0,1/2013,99.92,101.25,98.27,100.0
1,1/2014,99.94,100.69,98.18,82.65
2,1/2015,100.23,99.8,100.55,73.43
3,1/2016,100.18,100.0,99.77,44.75
4,1/2017,99.93,100.46,99.82,87.61
5,1/2018,99.96,100.51,101.69,63.67
6,1/2019,99.6,100.1,102.25,78.26
7,1/2020,100.02,101.23,104.37,103.89
8,1/2021,99.84,100.06,102.17,127.36
9,1/2022,99.68,100.19,101.08,111.88
10,1/2023,97.95,100.52,100.51,59.4
11,1/2024,,,,117.21
12,10/2013,99.82,100.49,97.13,142.76
13,10/2014,100.18,100.11,97.18,115.33
14,10/2015,99.84,100.11,99.95,89.03
15,10/2016,100.07,100.83,98.31,143.24
16,10/2017,99.97,100.41,99.12,65.52
17,10/2018,100.2,100.33,100.12,82.38
18,10/2019,100.03,100.59,99.43,183.33
19,10/2020,100.07,100.09,98.9,64.29
20,10/2021,99.94,99.8,99.79,161.36
21,10/2022,101.84,100.15,100.5,68.24
22,10/2023,101.2,100.08,100.92,60.0
23,11/2013,99.9,100.34,98.96,110.14
24,11/2014,100.23,99.73,98.51,83.82
25,11/2015,99.69,100.07,99.39,97.83
26,11/2016,100.22,100.48,98.88,67.92
27,11/2017,99.99,100.13,99.7,103.16
28,11/2018,99.97,99.71,100.98,121.39
29,11/2019,99.87,100.96,99.37,70.0
30,11/2020,99.95,99.99,100.87,70.37
31,11/2021,99.79,100.32,102.65,112.68
32,11/2022,102.91,100.39,101.82,212.93
33,11/2023,100.05,100.25,102.77,281.16
34,12/2013,100.05,100.51,96.67,83.93
35,12/2014,100.35,99.76,99.95,95.17
36,12/2015,100.69,100.02,97.2,120.0
37,12/2016,101.52,100.23,97.48,121.11
38,12/2017,100.02,100.21,99.88,153.06
39,12/2018,99.93,99.75,100.41,109.52
40,12/2019,99.81,101.4,99.64,116.88
41,12/2020,99.77,100.1,99.17,111.58
42,12/2021,100.84,99.82,100.25,42.08
43,12/2022,97.4,99.99,100.45,94.74
44,12/2023,99.44,100.12,103.98,62.89
45,2/2013,100.03,101.32,99.67,73.56
46,2/2014,99.97,100.55,101.87,118.81
47,2/2015,99.8,99.95,102.7,98.68
48,2/2016,99.36,100.42,103.02,88.28
49,2/2017,99.93,100.23,102.45,117.8
50,2/2018,99.99,100.73,101.83,99.48
51,2/2019,99.91,100.8,101.53,233.33
52,2/2020,100.32,99.83,102.74,113.9
53,2/2021,99.83,101.52,100.25,39.26
54,2/2022,99.72,101.0,101.85,175.22
55,2/2023,100.2,100.45,100.92,146.04
56,2/2024,,,,72.73
57,3/2013,100.41,99.81,97.27,130.18
58,3/2014,100.02,99.56,103.31,105.0
59,3/2015,100.16,100.15,98.37,88.33
60,3/2016,99.62,100.57,104.87,120.31
61,3/2017,100.41,100.21,99.72,93.33
62,3/2018,100.27,99.73,99.65,75.26
63,3/2019,100.05,99.79,99.51,40.48
64,3/2020,100.17,99.28,103.87,66.2
65,3/2021,100.23,99.73,97.03,300.0
66,3/2022,100.64,100.7,104.51,143.94
67,3/2023,100.47,99.77,99.44,120.69
68,3/2024,,,,259.62
69,4/2013,100.01,100.02,97.44,84.07
70,4/2014,99.94,100.08,98.96,117.78
71,4/2015,100.74,100.14,98.96,202.26
72,4/2016,100.05,100.33,100.3,116.88
73,4/2017,99.72,100.0,101.01,140.95
74,4/2018,100.1,100.08,100.47,102.8
75,4/2019,99.98,100.31,99.5,105.88
76,4/2020,100.95,98.46,100.69,109.22
77,4/2021,100.29,99.96,98.1,64.15
78,4/2022,100.07,100.18,100.73,110.53
79,4/2023,99.11,99.66,102.04,50.2
80,4/2024,,,,115.93
81,5/2013,100.21,99.94,95.38,120.45
82,5/2014,99.96,100.2,99.15,103.77
83,5/2015,100.36,100.16,99.73,45.9
84,5/2016,99.9,100.54,101.45,111.11
85,5/2017,99.97,99.47,99.9,72.64
86,5/2018,99.94,100.55,99.25,183.67
87,5/2019,100.45,100.49,99.5,105.56
88,5/2020,99.59,99.97,102.41,71.43
89,5/2021,99.79,100.16,101.68,141.18
90,5/2022,100.65,100.38,99.48,84.44
91,5/2023,99.89,100.01,101.02,174.8
92,5/2024,,,,76.04
93,6/2013,100.26,100.05,95.89,105.45
94,6/2014,100.49,100.3,99.88,93.25
95,6/2015,100.62,100.35,99.92,152.85
96,6/2016,100.09,100.46,99.99,106.5
97,6/2017,99.93,99.83,100.25,186.05
98,6/2018,100.2,100.61,99.21,61.11
99,6/2019,100.3,99.91,101.98,75.26
100,6/2020,99.42,100.66,101.71,106.36
101,6/2021,99.7,100.19,101.12,81.25
102,6/2022,100.72,100.69,98.86,112.41
103,6/2023,100.14,100.27,99.36,45.58
104,6/2024,,,,14.71
105,7/2013,100.68,100.27,93.72,88.48
106,7/2014,100.36,100.23,101.38,101.81
107,7/2015,100.09,100.13,98.76,82.45
108,7/2016,99.79,100.13,105.36,109.39
109,7/2017,100.09,100.11,99.12,65.0
110,7/2018,100.84,99.91,98.43,152.73
111,7/2019,99.5,100.18,104.79,144.06
112,7/2020,99.77,100.4,103.49,93.16
113,7/2021,100.09,100.62,98.61,51.28
114,7/2022,100.62,100.4,97.61,129.77
115,7/2023,100.53,100.45,99.97,228.57
116,7/2024,,,,145.71
117,8/2013,100.06,100.83,100.32,107.35
118,8/2014,99.74,100.22,99.66,95.49
119,8/2015,100.31,99.93,96.08,90.32
120,8/2016,99.95,100.1,101.72,70.39
121,8/2017,99.97,100.92,101.11,65.38
122,8/2018,101.12,100.45,98.59,99.21
123,8/2019,99.83,100.28,104.61,79.13
124,8/2020,99.93,100.07,109.86,183.49
125,8/2021,99.56,100.25,99.51,105.0
126,8/2022,100.18,100.0,99.1,88.66
127,8/2023,100.57,100.88,100.64,106.7
128,8/2024,,,,94.12
129,9/2013,99.74,101.06,101.97,72.01
130,9/2014,99.85,100.4,98.34,64.47
131,9/2015,102.71,99.79,103.54,110.71
132,9/2016,100.07,100.54,99.64,112.8
133,9/2017,100.03,100.59,102.61,170.59
134,9/2018,100.16,100.59,99.03,84.0
135,9/2019,99.89,100.32,103.25,73.62
136,9/2020,99.95,100.12,99.67,105.0
137,9/2021,99.52,99.38,100.0,209.52
138,9/2022,100.53,100.4,98.29,49.42
139,9/2023,101.53,101.08,100.94,48.12
